RANKED_SOLO_5x5,
5.23.0.239,
NA1,
PRESEASON2016,
NA,
2026610846,
11,
1449100015041,
False,1,16,3,122,5,67,False,0,False,False,False,0,True,100,False,0,0,3,0,0,True,2,223,4,36,6,157,True,1,True,True,True,1,False,200,True,0,2,9,0,3,
3072,0,0,0,351,85220,947,1,2,0,4318,1,339,1,False,4,0,77857,3094,3006,1055,False,3340,6,1042,1042,138,0,12,6107,4,0,False,0,False,True,2,4,5,0,0,6875,8450,1256,508,0,False,False,1095,8814,0,8331,1,0,0,10780,1,6461,429,2,5245,9,5277,4,5289,5,5316,2,5317,7,5335,3,PLATINUM,6111,5,6122,1,6131,5,6141,1,6151,5,6161,1,6311,5,6322,1,6331,5,6343,1,4,100,BOTTOM,0.5,-1.5,265.9,429.9,36.05,-26.0,6.5,5.0,287.0,431.9,DUO_CARRY,-87.25,-188.4,211.7,477.6,7,
3078,0,0,0,424,46722,3139,1,0,0,11754,0,50,0,False,0,1,40133,3111,1028,3211,False,3340,6,0,0,108,0,12,3708,2,0,False,240,False,False,4,6,0,0,1,6121,6875,2880,1275,0,False,False,4475,7229,0,10535,1,0,0,22545,0,10550,39,3,5253,9,5277,9,5316,9,5365,2,8021,1,SILVER,6111,5,6122,1,6134,5,6142,1,6212,5,6223,1,6232,5,6241,1,6252,5,6261,1,4,100,TOP,-0.9,-1.9,193.5,390.0,-46.7,37.1,4.8,5.2,372.0,480.6,SOLO,248.6,69.0,542.7,862.2,12,
2049,0,0,0,0,32526,13309,1,2,0,5020,1,26,0,False,2,0,2706,3151,1001,3303,False,3341,11,1028,1058,19,0,10,29247,3,0,False,144,False,False,6,6,2,0,0,708,6600,572,572,0,False,False,104,7040,0,14590,1,0,0,11079,1,5914,63,4,5273,9,5289,9,5317,8,5331,1,5357,3,GOLD,6111,5,6121,1,6131,5,6141,1,6312,5,6322,1,6332,5,6342,1,6351,5,6362,1,14,100,BOTTOM,0.5,-1.5,186.7,341.7,36.05,-26.0,0.1,1.1,293.6,345.0,DUO_SUPPORT,-87.25,-188.4,194.2,391.1,4,
3285,0,0,0,0,85619,14074,2,3,0,7180,0,103,0,False,0,0,10846,3108,1311,1056,False,3340,7,1058,1026,146,0,13,73865,6,1,False,536,False,False,2,5,0,0,0,644,8350,908,692,0,False,False,281,8868,0,15411,1,0,0,12125,1,4408,1,5,5273,9,5289,9,5317,9,5357,3,GOLD,6114,5,6121,1,6134,5,6142,1,6311,5,6322,1,6332,5,6343,1,6352,5,6362,1,4,100,MIDDLE,1.5,-1.5,279.0,432.5,74.9,-76.5,7.5,5.4,493.2,407.5,SOLO,-148.3,-23.3,159.4,584.6,14,
1053,0,0,0,765,115713,942,4,13,1,5729,2,121,2,False,2,0,112682,3031,3006,1055,True,3363,9,3094,1038,150,2,14,2743,14,2,False,500,False,False,5,2,4,0,0,14867,10250,288,48,0,True,False,2401,12741,0,15857,3,1,0,10988,1,4759,222,6,5245,9,5289,9,5317,9,5335,3,GOLD,6111,5,6122,1,6131,1,6134,4,6141,1,6151,5,6162,1,6311,5,6322,1,6331,5,6343,1,7,200,BOTTOM,-0.5,1.5,229.9,475.5,-36.05,26.0,4.8,7.7,250.5,505.5,DUO_CARRY,87.25,188.4,295.3,474.1,4,
2032,0,0,0,455,127691,2318,1,2,0,5864,1,338,12,False,61,0,52941,3009,3742,3930,True,3340,5,3044,3086,23,0,14,65764,4,0,False,1060,False,False,8,3,73,0,0,2394,8900,8984,568,0,True,False,6448,9871,0,5281,1,0,0,21176,2,14252,77,7,5245,9,5289,9,5317,9,5337,3,PLATINUM,6111,5,6121,1,6131,5,6141,1,6151,5,6162,1,6312,5,6321,1,6331,5,6343,1,4,200,JUNGLE,0.5,-0.3,302.3,364.5,120.4,-8.1,0.6,0.6,420.8,454.6,NONE,-33.2,264.2,535.5,955.6,11,
3191,0,0,0,0,95448,10210,1,0,0,6474,3,45,2,False,0,0,18956,3158,3065,3152,True,3363,6,1058,0,147,0,14,76492,2,0,False,1070,False,False,10,2,2,0,0,1172,8550,0,0,0,True,True,13618,9951,0,11383,1,0,0,15717,0,8172,8,8,5259,8,5267,1,5297,9,5317,9,5357,3,GOLD,6114,5,6121,1,6134,5,6142,1,6154,5,6164,1,6312,5,6322,1,6332,5,6342,1,4,200,TOP,0.9,1.9,256.9,379.6,46.7,-37.1,5.7,7.1,418.7,443.5,SOLO,-248.6,-69.0,294.1,793.2,12,
