match_ID, participant, champ, win, kills, assists, deaths, gold_earned, p_damage_to_champs, m_damage_to_champs, max_multi_kill, max_crit, damage_taken, no_killing_spree, creep_score, jungle_killed, cc_dealt, wards_placed, total_heal
2026610846 , 7 , Udyr , 1 , 4 , 8 , 3 , 9871 , 2394 , 2318 , 1 , 455 , 21176 , 2 , 23 , 73 , 338 , 5 , 6448 , 
2026610846 , 8 , Vladimir , 1 , 2 , 10 , 2 , 9951 , 1172 , 10210 , 1 , 0 , 15717 , 0 , 147 , 2 , 45 , 6 , 13618 , 
2026610846 , 9 , TwistedFate , 1 , 6 , 11 , 3 , 11488 , 1546 , 14984 , 2 , 0 , 11731 , 1 , 139 , 12 , 409 , 9 , 2029 , 
2026610846 , 10 , Blitzcrank , 1 , 1 , 11 , 5 , 7698 , 2041 , 3643 , 1 , 0 , 16238 , 0 , 29 , 0 , 51 , 19 , 1450 , 
2026610850 , 1 , Ahri , 1 , 17 , 8 , 2 , 11901 , 2181 , 18338 , 4 , 0 , 11684 , 2 , 95 , 3 , 112 , 7 , 2964 , 
2026610850 , 2 , Twitch , 1 , 13 , 11 , 3 , 11638 , 15031 , 56 , 2 , 311 , 15442 , 3 , 98 , 6 , 256 , 5 , 2937 , 
2026610850 , 3 , Amumu , 1 , 0 , 6 , 2 , 8102 , 662 , 3037 , 0 , 0 , 15019 , 0 , 35 , 70 , 285 , 4 , 5011 , 
2026610850 , 4 , DrMundo , 1 , 3 , 5 , 3 , 8287 , 6493 , 10059 , 1 , 0 , 16142 , 1 , 131 , 0 , 277 , 4 , 7904 , 
2026610850 , 5 , TahmKench , 1 , 5 , 15 , 4 , 7972 , 1793 , 6987 , 2 , 0 , 20439 , 2 , 19 , 2 , 167 , 13 , 4404 , 
2026610850 , 6 , Skarner , 0 , 4 , 4 , 9 , 7073 , 3571 , 1011 , 1 , 0 , 21541 , 0 , 15 , 44 , 378 , 4 , 3610 , 
2026610850 , 7 , Sona , 0 , 2 , 8 , 6 , 6874 , 2802 , 10916 , 1 , 0 , 12761 , 0 , 28 , 1 , 32 , 10 , 3791 , 
2026610850 , 8 , Galio , 0 , 2 , 3 , 9 , 7207 , 103 , 10501 , 1 , 0 , 19108 , 0 , 127 , 3 , 351 , 8 , 3644 , 
2026610850 , 9 , Hecarim , 0 , 4 , 0 , 4 , 8434 , 11384 , 2413 , 1 , 542 , 24678 , 1 , 158 , 0 , 130 , 8 , 3436 , 
2026610850 , 10 , Jinx , 0 , 2 , 4 , 10 , 6667 , 9270 , 878 , 1 , 444 , 13861 , 0 , 88 , 1 , 49 , 6 , 940 , 
2026610856 , 1 , Vayne , 1 , 17 , 8 , 5 , 16536 , 20779 , 3419 , 2 , 691 , 26295 , 2 , 177 , 7 , 164 , 11 , 3278 , 
2026610856 , 2 , Shyvana , 1 , 9 , 10 , 5 , 13711 , 3620 , 10423 , 2 , 0 , 40358 , 2 , 74 , 62 , 556 , 7 , 6475 , 
2026610856 , 3 , TwistedFate , 1 , 7 , 17 , 6 , 13954 , 1885 , 22450 , 1 , 0 , 18351 , 2 , 128 , 21 , 254 , 10 , 2051 , 
2026610856 , 4 , Malphite , 1 , 7 , 14 , 5 , 13211 , 3175 , 14551 , 2 , 0 , 22177 , 2 , 134 , 4 , 2035 , 11 , 1021 , 
2026610856 , 5 , Bard , 1 , 2 , 17 , 9 , 10914 , 3005 , 6764 , 1 , 0 , 24367 , 0 , 63 , 0 , 220 , 10 , 8718 , 
2026610856 , 6 , Karthus , 0 , 11 , 6 , 9 , 13912 , 363 , 38940 , 4 , 788 , 23607 , 2 , 180 , 20 , 297 , 10 , 2166 , 
2026610856 , 7 , Nami , 0 , 4 , 17 , 8 , 11552 , 3008 , 8158 , 1 , 0 , 21074 , 1 , 23 , 0 , 402 , 12 , 9465 , 
2026610856 , 8 , Warwick , 0 , 1 , 13 , 11 , 11207 , 1239 , 7659 , 1 , 0 , 44362 , 0 , 31 , 58 , 174 , 19 , 17103 , 
2026610856 , 9 , Jinx , 0 , 7 , 8 , 7 , 12763 , 18547 , 2416 , 2 , 690 , 23706 , 2 , 170 , 7 , 113 , 6 , 3549 , 
2026610856 , 10 , Quinn , 0 , 7 , 7 , 8 , 11574 , 17749 , 1963 , 1 , 1012 , 22480 , 3 , 133 , 4 , 159 , 16 , 1240 , 
2026610858 , 1 , Lux , 1 , 17 , 14 , 8 , 17285 , 2106 , 44094 , 2 , 0 , 22884 , 4 , 143 , 16 , 345 , 13 , 2223 , 
2026610858 , 2 , Jinx , 1 , 12 , 6 , 6 , 18314 , 32713 , 1857 , 3 , 935 , 23940 , 4 , 254 , 22 , 266 , 10 , 9464 , 
2026610858 , 3 , Sejuani , 1 , 0 , 22 , 7 , 12350 , 2827 , 10218 , 0 , 0 , 42537 , 0 , 50 , 1 , 182 , 33 , 3828 , 
2026610858 , 4 , DrMundo , 1 , 7 , 17 , 10 , 16601 , 11593 , 24154 , 2 , 0 , 76200 , 2 , 79 , 95 , 1172 , 12 , 22451 , 
2026610858 , 5 , Shen , 1 , 8 , 24 , 8 , 17287 , 6378 , 16150 , 1 , 656 , 44358 , 3 , 177 , 11 , 102 , 18 , 4915 , 
2026610858 , 6 , Braum , 0 , 2 , 22 , 7 , 12249 , 2891 , 10763 , 1 , 0 , 44445 , 0 , 41 , 0 , 1241 , 24 , 6441 , 
2026610858 , 7 , Shaco , 0 , 9 , 14 , 11 , 15436 , 9022 , 10132 , 1 , 1103 , 33834 , 2 , 101 , 62 , 1191 , 17 , 5464 , 
2026610858 , 8 , Sivir , 0 , 9 , 17 , 8 , 18000 , 39956 , 3065 , 2 , 628 , 28968 , 3 , 316 , 8 , 230 , 12 , 5330 , 
2026610858 , 9 , Renekton , 0 , 7 , 15 , 10 , 15365 , 17321 , 6067 , 3 , 0 , 53100 , 2 , 221 , 16 , 146 , 12 , 7627 , 
2026610858 , 10 , Brand , 0 , 12 , 12 , 8 , 15542 , 1907 , 68993 , 1 , 0 , 33183 , 3 , 163 , 17 , 1167 , 15 , 6467 , 
2026610907 , 1 , Lucian , 0 , 9 , 11 , 10 , 14937 , 25878 , 4073 , 2 , 682 , 27013 , 1 , 220 , 18 , 264 , 12 , 4111 , 
2026610907 , 2 , TwistedFate , 0 , 11 , 9 , 8 , 14794 , 1685 , 34449 , 2 , 0 , 24402 , 3 , 179 , 6 , 345 , 12 , 2769 , 
2026610907 , 3 , Gragas , 0 , 4 , 12 , 6 , 12105 , 4651 , 18586 , 1 , 626 , 42218 , 0 , 63 , 59 , 804 , 16 , 15027 , 
2026610907 , 4 , Malphite , 0 , 4 , 12 , 7 , 11828 , 3903 , 11212 , 1 , 0 , 26708 , 0 , 163 , 8 , 913 , 6 , 1404 , 
2026610907 , 5 , Karma , 0 , 4 , 17 , 9 , 12107 , 1847 , 13907 , 1 , 0 , 22921 , 1 , 39 , 0 , 969 , 39 , 2063 , 
2026610907 , 6 , Gangplank , 1 , 5 , 20 , 6 , 17477 , 15369 , 7895 , 1 , 1165 , 28622 , 1 , 260 , 3 , 922 , 21 , 8260 , 
2026610907 , 7 , TahmKench , 1 , 10 , 5 , 5 , 14342 , 2796 , 18327 , 1 , 0 , 67498 , 3 , 29 , 91 , 866 , 13 , 28344 , 
2026610907 , 8 , Twitch , 1 , 12 , 11 , 8 , 17129 , 25318 , 484 , 2 , 874 , 22205 , 3 , 226 , 33 , 522 , 13 , 3552 , 
2026610907 , 9 , Lulu , 1 , 7 , 23 , 5 , 13879 , 2393 , 12407 , 3 , 0 , 20399 , 2 , 34 , 0 , 583 , 34 , 1975 , 
2026610907 , 10 , Malzahar , 1 , 6 , 10 , 8 , 13969 , 1248 , 24385 , 1 , 0 , 26827 , 2 , 190 , 5 , 1254 , 15 , 3550 , 
2026610909 , 1 , DrMundo , 1 , 8 , 8 , 2 , 11913 , 7056 , 14473 , 1 , 0 , 29421 , 2 , 146 , 3 , 174 , 5 , 6854 , 
2026610909 , 2 , Vayne , 1 , 11 , 6 , 6 , 11857 , 13164 , 756 , 1 , 368 , 17921 , 3 , 99 , 11 , 328 , 10 , 3452 , 
2026610909 , 3 , Annie , 1 , 5 , 9 , 5 , 10379 , 648 , 13434 , 2 , 0 , 13530 , 2 , 130 , 0 , 55 , 3 , 559 , 
2026610909 , 4 , Teemo , 1 , 8 , 8 , 2 , 12041 , 2446 , 14717 , 2 , 0 , 16837 , 2 , 46 , 69 , 461 , 8 , 6214 , 
2026610909 , 5 , Trundle , 1 , 7 , 11 , 4 , 10713 , 9384 , 2535 , 2 , 0 , 28013 , 2 , 25 , 37 , 640 , 9 , 9875 , 
2026610909 , 6 , LeeSin , 0 , 8 , 3 , 7 , 9493 , 7880 , 2848 , 1 , 0 , 22677 , 2 , 42 , 31 , 287 , 10 , 4608 , 
2026610909 , 7 , Darius , 0 , 0 , 1 , 10 , 6907 , 7763 , 0 , 0 , 0 , 23398 , 0 , 75 , 5 , 109 , 9 , 1645 , 
2026610909 , 8 , Lux , 0 , 6 , 7 , 5 , 9693 , 1249 , 21921 , 2 , 0 , 10827 , 2 , 120 , 1 , 471 , 5 , 573 , 
